Timestamp,Phase,AP_ID,ChannelUtilization,ConnectedUsers,TotalThroughput,PositionX,PositionY
0.00,Initial,AP2,0.82,42,0.00,31.25,93.75
0.00,Initial,AP3,0.75,40,0.00,93.75,93.75
30.00,Final,AP0,0.90,14,67.10,31.25,31.25
30.00,Final,AP1,0.42,4,83.38,93.75,31.25
30.00,Final,AP2,0.82,42,68.64,31.25,93.75
30.00,Final,AP3,0.75,40,93.24,93.75,93.75
0.00,Initial,AP0,0.90,14,0.00,31.25,31.25
0.00,Initial,AP1,0.42,4,0.00,93.75,31.25
0.00,Initial,AP2,0.82,42,0.00,31.25,93.75
0.00,Initial,AP3,0.75,40,0.00,93.75,93.75
30.00,Final,AP0,0.90,14,55.90,31.25,31.25
30.00,Final,AP1,0.42,4,83.38,93.75,31.25
30.00,Final,AP2,0.82,42,68.64,31.25,93.75
30.00,Final,AP3,0.75,40,93.24,93.75,93.75
0.00,Initial,AP0,0.90,14,0.00,31.25,31.25
0.00,Initial,AP1,0.42,4,0.00,93.75,31.25
0.00,Initial,AP2,0.82,42,0.00,31.25,93.75
0.00,Initial,AP3,0.75,40,0.00,93.75,93.75
30.00,Final,AP0,0.90,14,60.40,31.25,31.25
30.00,Final,AP1,0.42,4,83.38,93.75,31.25
30.00,Final,AP2,0.82,42,68.64,31.25,93.75
30.00,Final,AP3,0.75,40,93.24,93.75,93.75
0.00,Initial,AP0,0.90,14,0.00,31.25,31.25
0.00,Initial,AP1,0.42,4,0.00,93.75,31.25
0.00,Initial,AP2,0.82,42,0.00,31.25,93.75
0.00,Initial,AP3,0.75,40,0.00,93.75,93.75
30.00,Final,AP0,0.90,14,63.60,31.25,31.25
30.00,Final,AP1,0.42,4,83.38,93.75,31.25
30.00,Final,AP2,0.82,42,68.64,31.25,93.75
30.00,Final,AP3,0.75,40,93.24,93.75,93.75
0.00,Initial,AP0,0.90,14,0.00,31.25,31.25
0.00,Initial,AP1,0.42,4,0.00,93.75,31.25
0.00,Initial,AP2,0.82,42,0.00,31.25,93.75
0.00,Initial,AP3,0.75,40,0.00,93.75,93.75
30.00,Final,AP0,0.90,14,52.40,31.25,31.25
30.00,Final,AP1,0.42,4,83.38,93.75,31.25
30.00,Final,AP2,0.82,42,68.64,31.25,93.75
30.00,Final,AP3,0.75,40,93.24,93.75,93.75
0.00,Initial,AP0,0.90,14,0.00,31.25,31.25
0.00,Initial,AP1,0.42,4,0.00,93.75,31.25
0.00,Initial,AP2,0.82,42,0.00,31.25,93.75
0.00,Initial,AP3,0.75,40,0.00,93.75,93.75
30.00,Final,AP0,0.90,14,109.60,31.25,31.25
30.00,Final,AP1,0.42,4,83.38,93.75,31.25
30.00,Final,AP2,0.82,42,68.64,31.25,93.75
30.00,Final,AP3,0.75,40,93.24,93.75,93.75
0.00,Initial,AP0,0.90,14,0.00,31.25,31.25
0.00,Initial,AP1,0.42,4,0.00,93.75,31.25
0.00,Initial,AP2,0.82,42,0.00,31.25,93.75
0.00,Initial,AP3,0.75,40,0.00,93.75,93.75
30.00,Final,AP0,0.90,14,71.75,31.25,31.25
30.00,Final,AP1,0.42,4,83.38,93.75,31.25
30.00,Final,AP2,0.82,42,68.64,31.25,93.75
30.00,Final,AP3,0.75,40,93.24,93.75,93.75
0.00,Initial,AP0,0.90,14,0.00,31.25,31.25
0.00,Initial,AP1,0.42,4,0.00,93.75,31.25
0.00,Initial,AP2,0.82,42,0.00,31.25,93.75
0.00,Initial,AP3,0.75,40,0.00,93.75,93.75
30.00,Final,AP0,0.90,14,53.05,31.25,31.25
30.00,Final,AP1,0.42,4,83.38,93.75,31.25
30.00,Final,AP2,0.82,42,68.64,31.25,93.75
30.00,Final,AP3,0.75,40,93.24,93.75,93.75
0.00,Initial,AP0,0.90,14,0.00,31.25,31.25
0.00,Initial,AP1,0.42,4,0.00,93.75,31.25
0.00,Initial,AP2,0.82,42,0.00,31.25,93.75
0.00,Initial,AP3,0.75,40,0.00,93.75,93.75
0.00,Initial,AP0,0.90,14,0.00,31.25,31.25
0.00,Initial,AP1,0.42,4,0.00,93.75,31.25
0.00,Initial,AP2,0.82,42,0.00,31.25,93.75
0.00,Initial,AP3,0.75,40,0.00,93.75,93.75
30.00,Final,AP0,0.90,14,53.05,31.25,31.25
30.00,Final,AP1,0.42,4,83.38,93.75,31.25
30.00,Final,AP2,0.82,42,68.64,31.25,93.75
30.00,Final,AP3,0.75,40,93.24,93.75,93.75
0.00,Initial,AP0,0.90,14,0.00,31.25,31.25
0.00,Initial,AP1,0.42,4,0.00,93.75,31.25
0.00,Initial,AP2,0.82,42,0.00,31.25,93.75
0.00,Initial,AP3,0.75,40,0.00,93.75,93.75
30.00,Final,AP0,0.90,14,69.10,31.25,31.25
30.00,Final,AP1,0.42,4,83.38,93.75,31.25
30.00,Final,AP2,0.82,42,68.64,31.25,93.75
30.00,Final,AP3,0.75,40,93.24,93.75,93.75
0.00,Initial,AP0,0.90,14,0.00,31.25,31.25
0.00,Initial,AP1,0.42,4,0.00,93.75,31.25
0.00,Initial,AP2,0.82,42,0.00,31.25,93.75
0.00,Initial,AP3,0.75,40,0.00,93.75,93.75
30.00,Final,AP0,0.90,14,57.10,31.25,31.25
30.00,Final,AP1,0.42,4,83.38,93.75,31.25
30.00,Final,AP2,0.82,42,68.64,31.25,93.75
30.00,Final,AP3,0.75,40,93.24,93.75,93.75
0.00,Initial,AP0,0.90,14,0.00,31.25,31.25
